Post Type,Month,Year,Wholesaler,Bev. Type,Product Code,Combo/Reg,Brand Reg,TTB ID,Brand Name,Product,Agent/Owner,Source of Info,Distributor-Wholesaler Serial #,Size,Unit,# of Bottles,Bottles per Sleeve,Age/Vintage,Alc %,Proof,Price per Bottle,Price per Case,NYC bottle,NYC case,Full Case Purchase,Split Case Charge,FOB,NYS Supplier's Serial #,NYS Suppliers Product Code,Column 31,Column 32,Limited Avail.,Allocation,Allocation Description,NYS Product,Column 37,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,,,,,
WW,5,2018,2188817,TW,APW-TSACW750-14,R,P,16080001000084,Tbilvino,Wine,A,,N,750,ml,12,,VV,B,B,6.50,78.00,,,N,,,,APW-TSACW750-14,,,,,,,,5,C,4,$,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,APW-TSAP750-14,R,P,15182001000070,Tbilvino,Wine,A,,N,750,ml,12,,VV,B,B,7.50,90.00,,,N,,,,APW-TSAP750-14,,,,,,,,5,C,6,$,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,APW-TSAPK750-14,R,P,15182001000084,Tbilvino,Wine,A,,N,750,ml,12,,VV,B,B,8.40,100.80,,,N,,,,APW-TSAPK750-14,,,,,,,,5,C,6,$,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TW,APW-TSIN750-15,R,P,17267001000106,Tbilvino,Wine,A,,N,750,ml,12,,VV,B,B,6.50,78.00,,,N,,,,APW-TSIN750-15,,,,,,,,40,C,12,$,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,DP,APW-TSRED750-15,R,P,17267001000108,Tbilvino,Wine,A,,N,750,ml,12,,VV,B,B,6.50,78.00,,,N,,,,APW-TSRED750-15,,,,,,,,40,C,6,$,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,APW-VELVSAP-15,R,P,17070001000101,KTW,Wine,A,,N,750,ml,12,,VV,B,B,11.00,132.00,,,N,,,,APW-VELVSAP-15,,,,,,,,30,C,12,$,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,S,ARK-STGO-750,R,P,17192001000159,Status Gold,Almond,A,,N,750,ml,12,,NV,B,B,13.50,162.00,,,N,,,,ARK-STGO-750,,,,,,,,3,C,10,%,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,S,ARK-STPL-750,R,P,17192001000161,Status Platinum,Brut,A,,N,750,ml,12,,NV,B,B,9.00,108.00,,,N,,,,ARK-STPL-750,,,,,,,,3,C,10,%,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,S,ARK-STVIP-750,R,P,17192001000194,Status VIP,PESCA,A,,N,750,ml,12,,NV,B,B,11.25,135.00,,,N,,,,ARK-STVIP-750,,,,,,,,3,C,10,%,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,ARW-AgioTosBl-13,R,P,13321001000054,Villa La Pagliaia,Toscana,A,,"1104391, 1192561, 1205425, 2165244, 3128645, 2606361, 3135132, 1016028",750,ml,12,,2013,B,B,2.54,30.51,,,N,,,,ARW-AgioTosBl-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
