ItemName,Warehouse,CaseUPC,PackUPC,RetailUPC,UnitUPC,ItemKey,
13 BR COHN GOLD LABEL CABERNET 6PK,All warehouses,,,,,3404,                                                           
13 CATENA CABERNET SAUVIGNON,All warehouses,,,098709088504,098709088504,3670,                                         
13 CATENA MALBEC 750ML,All warehouses,,, 08904644403 0,0 9870908858 0,3692,                                           
13 CERETTO ARNEIS BLANGE 750ML,All warehouses,,, 08175355016 5, 08175355016 5,3302,                                   
13 CERETTO DOLCETTO ROSANNA 750ML,All warehouses,,, 08175355021 9, 08175355021 9,3305,                                
13 CLOS PEGASE ROSE,All warehouses,,, 03322885511 4, 03322885511 4,382,                                               
13 COPPOLA DIAMOND CHARD 375ML,All warehouses,,, 73995898427, 73995898427,204,                                        
13 COPPOLA DIAMOND CLARET 750ML,All warehouses,,, 73995897400 1, 73995897400 1,191,                                   
13 COPPOLA DIAMOND MERLOT 375ML,All warehouses,,, 73995897417 9, 73995897417 9,201,                                   
13 COPPOLA DIAMOND MERLOT 750ML,All warehouses,,, 73995897410 0, 73995897410 0,199,                                   
13 COPPOLA DIAMOND PETITE SIRAH,All warehouses,,,7 39958 07510 4,7 39958 07510 4,212,                                 
13 COPPOLA DIAMOND SYRAH 750ML,All warehouses,,, 73995898440 6, 73995898440 6,192,                                    
13 COPPOLA DIRECTOR RED BLEND,All warehouses,,,7 39958 13938 7,7 39958 13938 7,132,                                   
13 COPPOLA R & B ROSSO,All warehouses,,, 739958023105, 739958023105,655,                                              
13 COPPOLA R & B SHIRAZ,All warehouses,,,739958033401,739958033401,652,                                               
13 COUSINO MACUL CABERNET 750ML,All warehouses,,, 08904666661 6, 08904666661 6,3580,                                  
13 COUSINO MACUL CHARDONNAY 750ML,All warehouses,,, 08904666662 3, 08904666662 3,3610,                                
13 CYPRESS CABERNET SAUVIGNON 750ML,All warehouses,,, 08912114842 6, 08912114842 6,410,                               
13 CYPRESS MERLOT 750ML,All warehouses,,, 08912111852 8, 08912111852 8,370,                                           
13 DONATI VINEYARDS CABERNET 750ML,All warehouses,,,,1 8783300023 7,2153,                                             
13 DRC CORTON 6 PK,All warehouses,,,,,4607,                                                                           
13 DRC ECHEZEAUX 6PK,All warehouses,,,,,4610,                                                                         
13 DRC GRAND ECHEZEAU 6PK,All warehouses,,,,,4611,                                                                    
13 DRC LA TACHE 6PK,All warehouses,,,0000000000000,0000000000000,4604,                                                
13 DRC RICHEBOURG 6PK,All warehouses,,,,,4603,                                                                        
13 DRC ROMANEE CONTI 3PK,All warehouses,,,,,4605,                                                                     
13 DRC ST.VIVANT 6PK,All warehouses,,,0000000000000,0000000000000,4609,                                               
13 ELK COVE WILLAMET PINOT NOIR 375ML,All warehouses,,,,,3475,                                                        
13 ELK COVE WILLAMET PINOT NOIR 750ML,All warehouses,,, 08364887711, 08364887711,3472,                                
13 FERRARI CARANO CHARDONNAY 750ML,All warehouses,,, 74265110719 5, 74265110719 5,1240,                               
13 FERRARI CARANO MERLOT 750ML,All warehouses,,, 74265114219 6, 74265114219 6,1290,                                   
13 FERRARI CARANO SIENA 750ML,All warehouses,,, 74265118429 5, 74265118429 5,1291,                                    
13 GEYSER PEAK CABERNET 750ML,All warehouses,,, 08341701920 9,08341701920 9,253,                                      
13 GIRARD CHARDONNAY 750ML,All warehouses, 00000000000, 00000000000, 00817670001, 00817670001,672,                    
13 GIRARD PETITE SIRAH 750ML,All warehouses, 00000000000, 00000000000,0 9870908869 6,0 9870908869 6,669,              
13 GIRARD ZINFANDEL 750ML,All warehouses, 00000000000, 00000000000, 00817625835 5, 00817625835 5,674,                 
13 GUENOC CALIF CR CHARDONNAY,All warehouses,,,,,126,                                                                 
13 GUENOC CALIF PETITE SIRAH 750ML,All warehouses,,,08163330375 1,08163330375 1,153,                                  
13 GUENOC LAKE COUNTY PETITE SIRAH,All warehouses,,, 08163368622 9, 08163368622 9,180,                                
